id,term_type,category,category_en,category_fa,fa,de,en,definition_en,definition_de,example_de,example_fa,example_de_2,example_fa_2,source,example_style
321,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,فهرست پیگیری کامنت‌ها,Kommentartracker,comment tracker,"Comment tracker is an occupational safety concept used to support the safe planning, execution and control of work.","Kommentartracker ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Kommentartracker: Nach einer Verfahrensänderung verwendete das Team weiterhin die freigegebene alte Revision. Die Arbeit blieb bis zur Umsetzung der folgenden Maßnahme unterbrochen: Der Comment Tracker trennte interne und AG-Kommentare und enthielt Owner, Termin, Evidenz und Abschlussstatus.",فهرست پیگیری کامنت‌ها: پس از تغییر روش، تیم همچنان از نسخه قدیمی تأییدشده استفاده می‌کرد. کار تا اجرای اقدام زیر متوقف ماند: جدول نظرات، موارد داخلی و کارفرما را جدا و مسئول، مهلت، مدرک و وضعیت بسته‌شدن را ثبت کرد.,"Im RAMS und in der Unterweisung zu „Kommentartracker“ wurde dieser konkrete Arbeitsablauf beschrieben: Nach einer Verfahrensänderung verwendete das Team weiterhin die freigegebene alte Revision. Die Arbeit blieb bis zur Umsetzung der folgenden Maßnahme unterbrochen: Der Comment Tracker trennte interne und AG-Kommentare und enthielt Owner, Termin, Evidenz und Abschlussstatus.",در RAMS و آموزش مربوط به «فهرست پیگیری کامنت‌ها» این روند واقعی کار شرح داده شد: پس از تغییر روش، تیم همچنان از نسخه قدیمی تأییدشده استفاده می‌کرد. کار تا اجرای اقدام زیر متوقف ماند: جدول نظرات، موارد داخلی و کارفرما را جدا و مسئول، مهلت، مدرک و وضعیت بسته‌شدن را ثبت کرد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
322,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,نسخه بازنگری,Revision,revision,"Revision is an occupational safety concept used to support the safe planning, execution and control of work.","Revision ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Revision: Nach einer Verfahrensänderung verwendete das Team weiterhin die freigegebene alte Revision. Die Arbeit blieb bis zur Umsetzung der folgenden Maßnahme unterbrochen: Revision, Gültigkeit und Verteilung wurden kontrolliert; alte Versionen wurden eindeutig zurückgezogen.",نسخه بازنگری: پس از تغییر روش، تیم همچنان از نسخه قدیمی تأییدشده استفاده می‌کرد. کار تا اجرای اقدام زیر متوقف ماند: نسخه، اعتبار و توزیع کنترل و نسخه‌های قدیمی به‌روشنی جمع‌آوری شدند.,"Im RAMS und in der Unterweisung zu „Revision“ wurde dieser konkrete Arbeitsablauf beschrieben: Nach einer Verfahrensänderung verwendete das Team weiterhin die freigegebene alte Revision. Die Arbeit blieb bis zur Umsetzung der folgenden Maßnahme unterbrochen: Revision, Gültigkeit und Verteilung wurden kontrolliert; alte Versionen wurden eindeutig zurückgezogen.",در RAMS و آموزش مربوط به «نسخه بازنگری» این روند واقعی کار شرح داده شد: پس از تغییر روش، تیم همچنان از نسخه قدیمی تأییدشده استفاده می‌کرد. کار تا اجرای اقدام زیر متوقف ماند: نسخه، اعتبار و توزیع کنترل و نسخه‌های قدیمی به‌روشنی جمع‌آوری شدند.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
323,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,وضعیت سند,Dokumentenstand,document status,"Document status is an occupational safety concept used to support the safe planning, execution and control of work.","Dokumentenstand ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Dokumentenstand: Für eine Hochrisikoarbeit lag ein Permit to Work vor, obwohl die Bedingungen am Einsatzort noch nicht bestätigt waren. Im RAMS wurde als konkrete Maßnahme festgelegt: Revision, Gültigkeit und Verteilung wurden kontrolliert; alte Versionen wurden eindeutig zurückgezogen.",وضعیت سند: برای یک کار پرخطر مجوز صادر شده بود، در حالی که شرایط محل هنوز تأیید نشده بودند. در RAMS اقدام مشخص زیر تعیین شد: نسخه، اعتبار و توزیع کنترل و نسخه‌های قدیمی به‌روشنی جمع‌آوری شدند.,"Im Dokument „Dokumentenstand“ wurde der folgende projektspezifische Sachverhalt mit Maßnahme, Verantwortlichem und Frist festgehalten: Für eine Hochrisikoarbeit lag ein Permit to Work vor, obwohl die Bedingungen am Einsatzort noch nicht bestätigt waren. Im RAMS wurde als konkrete Maßnahme festgelegt: Revision, Gültigkeit und Verteilung wurden kontrolliert; alte Versionen wurden eindeutig zurückgezogen.",در سند «وضعیت سند» وضعیت پروژه‌ای زیر همراه با اقدام، مسئول و مهلت ثبت شد: برای یک کار پرخطر مجوز صادر شده بود، در حالی که شرایط محل هنوز تأیید نشده بودند. در RAMS اقدام مشخص زیر تعیین شد: نسخه، اعتبار و توزیع کنترل و نسخه‌های قدیمی به‌روشنی جمع‌آوری شدند.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
324,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,تاریخ تغییر,Änderungsdatum,revision date,"Revision date is an occupational safety concept used to support the safe planning, execution and control of work.","Änderungsdatum ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Änderungsdatum: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Im RAMS wurde als konkrete Maßnahme festgelegt: Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",تاریخ تغییر: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در RAMS اقدام مشخص زیر تعیین شد: برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,"Im RAMS und in der Unterweisung zu „Änderungsdatum“ wurde dieser konkrete Arbeitsablauf beschrieben: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Im RAMS wurde als konkrete Maßnahme festgelegt: Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",در RAMS و آموزش مربوط به «تاریخ تغییر» این روند واقعی کار شرح داده شد: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در RAMS اقدام مشخص زیر تعیین شد: برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
325,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,وضعیت تأیید,Freigabestatus,approval status,"Approval status is an organised method or control used to define safe work methods, interfaces and authorisations.","Freigabestatus ist ein organisiertes Verfahren oder eine Schutzmaßnahme, um sichere Arbeitsverfahren, Schnittstellen und Freigaben festzulegen.","Freigabestatus: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Im RAMS wurde als konkrete Maßnahme festgelegt: Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",وضعیت تأیید: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در RAMS اقدام مشخص زیر تعیین شد: برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,"Im RAMS und in der Unterweisung zu „Freigabestatus“ wurde dieser konkrete Arbeitsablauf beschrieben: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Im RAMS wurde als konkrete Maßnahme festgelegt: Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",در RAMS و آموزش مربوط به «وضعیت تأیید» این روند واقعی کار شرح داده شد: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در RAMS اقدام مشخص زیر تعیین شد: برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
326,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,مورد باز,Offener Punkt,open item,"Open item is an occupational safety concept used to support the safe planning, execution and control of work.","Offener Punkt ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Offener Punkt: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",مورد باز: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,"Im RAMS und in der Unterweisung zu „Offener Punkt“ wurde dieser konkrete Arbeitsablauf beschrieben: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",در RAMS و آموزش مربوط به «مورد باز» این روند واقعی کار شرح داده شد: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
327,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,شواهد یا مدرک اثبات,Evidenz,evidence,"Evidence is an occupational safety concept used to support the safe planning, execution and control of work.","Evidenz ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Evidenz: Für eine Hochrisikoarbeit lag ein Permit to Work vor, obwohl die Bedingungen am Einsatzort noch nicht bestätigt waren. Im RAMS wurde als konkrete Maßnahme festgelegt: Revision, Gültigkeit und Verteilung wurden kontrolliert; alte Versionen wurden eindeutig zurückgezogen.",شواهد یا مدرک اثبات: برای یک کار پرخطر مجوز صادر شده بود، در حالی که شرایط محل هنوز تأیید نشده بودند. در RAMS اقدام مشخص زیر تعیین شد: نسخه، اعتبار و توزیع کنترل و نسخه‌های قدیمی به‌روشنی جمع‌آوری شدند.,"Im RAMS und in der Unterweisung zu „Evidenz“ wurde dieser konkrete Arbeitsablauf beschrieben: Für eine Hochrisikoarbeit lag ein Permit to Work vor, obwohl die Bedingungen am Einsatzort noch nicht bestätigt waren. Im RAMS wurde als konkrete Maßnahme festgelegt: Revision, Gültigkeit und Verteilung wurden kontrolliert; alte Versionen wurden eindeutig zurückgezogen.",در RAMS و آموزش مربوط به «شواهد یا مدرک اثبات» این روند واقعی کار شرح داده شد: برای یک کار پرخطر مجوز صادر شده بود، در حالی که شرایط محل هنوز تأیید نشده بودند. در RAMS اقدام مشخص زیر تعیین شد: نسخه، اعتبار و توزیع کنترل و نسخه‌های قدیمی به‌روشنی جمع‌آوری شدند.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
328,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,پیگیری اقدامات,Maßnahmenverfolgung,action tracking,"Action tracking is an occupational safety concept used to support the safe planning, execution and control of work.","Maßnahmenverfolgung ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Maßnahmenverfolgung: Nach einer Verfahrensänderung verwendete das Team weiterhin die freigegebene alte Revision. Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",پیگیری اقدامات: پس از تغییر روش، تیم همچنان از نسخه قدیمی تأییدشده استفاده می‌کرد. برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,"Im RAMS und in der Unterweisung zu „Maßnahmenverfolgung“ wurde dieser konkrete Arbeitsablauf beschrieben: Nach einer Verfahrensänderung verwendete das Team weiterhin die freigegebene alte Revision. Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",در RAMS و آموزش مربوط به «پیگیری اقدامات» این روند واقعی کار شرح داده شد: پس از تغییر روش، تیم همچنان از نسخه قدیمی تأییدشده استفاده می‌کرد. برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
329,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,مسئولیت,Verantwortlichkeit,responsibility,"Responsibility is an occupational safety concept used to support the safe planning, execution and control of work.","Verantwortlichkeit ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Verantwortlichkeit: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Im RAMS wurde als konkrete Maßnahme festgelegt: Das PTW wurde erst nach Ortskontrolle, Unterweisung, Freischaltung und bestätigten Schnittstellen aktiviert.",مسئولیت: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در RAMS اقدام مشخص زیر تعیین شد: مجوز کار فقط پس از کنترل محل، آموزش، قطع انرژی و تأیید تداخل‌ها فعال شد.,"Im RAMS und in der Unterweisung zu „Verantwortlichkeit“ wurde dieser konkrete Arbeitsablauf beschrieben: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Im RAMS wurde als konkrete Maßnahme festgelegt: Das PTW wurde erst nach Ortskontrolle, Unterweisung, Freischaltung und bestätigten Schnittstellen aktiviert.",در RAMS و آموزش مربوط به «مسئولیت» این روند واقعی کار شرح داده شد: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در RAMS اقدام مشخص زیر تعیین شد: مجوز کار فقط پس از کنترل محل، آموزش، قطع انرژی و تأیید تداخل‌ها فعال شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
330,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,برنامه‌ریزی زمانی,Terminplanung,scheduling,"Scheduling is an occupational safety concept used to support the safe planning, execution and control of work.","Terminplanung ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Terminplanung: Nach einer Verfahrensänderung verwendete das Team weiterhin die freigegebene alte Revision. Bei der Nachkontrolle wurde bestätigt: Der Comment Tracker trennte interne und AG-Kommentare und enthielt Owner, Termin, Evidenz und Abschlussstatus.",برنامه‌ریزی زمانی: پس از تغییر روش، تیم همچنان از نسخه قدیمی تأییدشده استفاده می‌کرد. در کنترل مجدد تأیید شد: جدول نظرات، موارد داخلی و کارفرما را جدا و مسئول، مهلت، مدرک و وضعیت بسته‌شدن را ثبت کرد.,"Im RAMS und in der Unterweisung zu „Terminplanung“ wurde dieser konkrete Arbeitsablauf beschrieben: Nach einer Verfahrensänderung verwendete das Team weiterhin die freigegebene alte Revision. Bei der Nachkontrolle wurde bestätigt: Der Comment Tracker trennte interne und AG-Kommentare und enthielt Owner, Termin, Evidenz und Abschlussstatus.",در RAMS و آموزش مربوط به «برنامه‌ریزی زمانی» این روند واقعی کار شرح داده شد: پس از تغییر روش، تیم همچنان از نسخه قدیمی تأییدشده استفاده می‌کرد. در کنترل مجدد تأیید شد: جدول نظرات، موارد داخلی و کارفرما را جدا و مسئول، مهلت، مدرک و وضعیت بسته‌شدن را ثبت کرد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
331,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,فعالیت‌های هم‌زمان,Gleichzeitige Arbeiten,simultaneous operations,"Simultaneous operations is an occupational safety concept used to support the safe planning, execution and control of work.","Gleichzeitige Arbeiten ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Gleichzeitige Arbeiten: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Bei der Nachkontrolle wurde bestätigt: Revision, Gültigkeit und Verteilung wurden kontrolliert; alte Versionen wurden eindeutig zurückgezogen.",فعالیت‌های هم‌زمان: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در کنترل مجدد تأیید شد: نسخه، اعتبار و توزیع کنترل و نسخه‌های قدیمی به‌روشنی جمع‌آوری شدند.,"Im RAMS und in der Unterweisung zu „Gleichzeitige Arbeiten“ wurde dieser konkrete Arbeitsablauf beschrieben: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Bei der Nachkontrolle wurde bestätigt: Revision, Gültigkeit und Verteilung wurden kontrolliert; alte Versionen wurden eindeutig zurückgezogen.",در RAMS و آموزش مربوط به «فعالیت‌های هم‌زمان» این روند واقعی کار شرح داده شد: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در کنترل مجدد تأیید شد: نسخه، اعتبار و توزیع کنترل و نسخه‌های قدیمی به‌روشنی جمع‌آوری شدند.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
332,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,عملیات هم‌زمان,SIMOPS,simultaneous operations,"Simultaneous operations is an occupational safety concept used to support the safe planning, execution and control of work.","SIMOPS ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","SIMOPS: Das RAMS beschrieb die Tätigkeit allgemein, ließ aber Quetschstellen, Fahrmanöver und hydraulische Gefahren offen. Bei der Nachkontrolle wurde bestätigt: Das PTW wurde erst nach Ortskontrolle, Unterweisung, Freischaltung und bestätigten Schnittstellen aktiviert.",عملیات هم‌زمان: RAMS فعالیت را کلی شرح داده بود اما نقاط گیرکردن، مانور حرکت و خطرات هیدرولیک را پوشش نمی‌داد. در کنترل مجدد تأیید شد: مجوز کار فقط پس از کنترل محل، آموزش، قطع انرژی و تأیید تداخل‌ها فعال شد.,"Im RAMS und in der Unterweisung zu „SIMOPS“ wurde dieser konkrete Arbeitsablauf beschrieben: Das RAMS beschrieb die Tätigkeit allgemein, ließ aber Quetschstellen, Fahrmanöver und hydraulische Gefahren offen. Bei der Nachkontrolle wurde bestätigt: Das PTW wurde erst nach Ortskontrolle, Unterweisung, Freischaltung und bestätigten Schnittstellen aktiviert.",در RAMS و آموزش مربوط به «عملیات هم‌زمان» این روند واقعی کار شرح داده شد: RAMS فعالیت را کلی شرح داده بود اما نقاط گیرکردن، مانور حرکت و خطرات هیدرولیک را پوشش نمی‌داد. در کنترل مجدد تأیید شد: مجوز کار فقط پس از کنترل محل، آموزش، قطع انرژی و تأیید تداخل‌ها فعال شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
333,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,طرح اضطراری,Notfallplan,emergency plan,"Emergency plan is a documented requirement or record used to define, communicate or demonstrate how to define safe work methods, interfaces and authorisations.","Notfallplan ist eine dokumentierte Vorgabe oder Aufzeichnung, mit der festgelegt, vermittelt oder nachgewiesen wird, wie sichere Arbeitsverfahren, Schnittstellen und Freigaben festzulegen ist.","Notfallplan: Für eine Hochrisikoarbeit lag ein Permit to Work vor, obwohl die Bedingungen am Einsatzort noch nicht bestätigt waren. Die Arbeit blieb bis zur Umsetzung der folgenden Maßnahme unterbrochen: Der Comment Tracker trennte interne und AG-Kommentare und enthielt Owner, Termin, Evidenz und Abschlussstatus.",طرح اضطراری: برای یک کار پرخطر مجوز صادر شده بود، در حالی که شرایط محل هنوز تأیید نشده بودند. کار تا اجرای اقدام زیر متوقف ماند: جدول نظرات، موارد داخلی و کارفرما را جدا و مسئول، مهلت، مدرک و وضعیت بسته‌شدن را ثبت کرد.,"Im Dokument „Notfallplan“ wurde der folgende projektspezifische Sachverhalt mit Maßnahme, Verantwortlichem und Frist festgehalten: Für eine Hochrisikoarbeit lag ein Permit to Work vor, obwohl die Bedingungen am Einsatzort noch nicht bestätigt waren. Die Arbeit blieb bis zur Umsetzung der folgenden Maßnahme unterbrochen: Der Comment Tracker trennte interne und AG-Kommentare und enthielt Owner, Termin, Evidenz und Abschlussstatus.",در سند «طرح اضطراری» وضعیت پروژه‌ای زیر همراه با اقدام، مسئول و مهلت ثبت شد: برای یک کار پرخطر مجوز صادر شده بود، در حالی که شرایط محل هنوز تأیید نشده بودند. کار تا اجرای اقدام زیر متوقف ماند: جدول نظرات، موارد داخلی و کارفرما را جدا و مسئول، مهلت، مدرک و وضعیت بسته‌شدن را ثبت کرد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
334,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,اعلام هشدار,Alarmierung,alarm notification,"Alarm notification is a piece of equipment or a technical component selected and used to help define safe work methods, interfaces and authorisations.","Alarmierung ist ein Arbeitsmittel oder technisches Bauteil, das ausgewählt und eingesetzt wird, um sichere Arbeitsverfahren, Schnittstellen und Freigaben festzulegen.","Alarmierung: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Bei der Nachkontrolle wurde bestätigt: Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",اعلام هشدار: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در کنترل مجدد تأیید شد: برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,"Im RAMS und in der Unterweisung zu „Alarmierung“ wurde dieser konkrete Arbeitsablauf beschrieben: Interne HSE-Kommentare und Kommentare des Auftraggebers waren in derselben Liste ohne Status vermischt. Bei der Nachkontrolle wurde bestätigt: Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",در RAMS و آموزش مربوط به «اعلام هشدار» این روند واقعی کار شرح داده شد: نظرات داخلی HSE و نظرات کارفرما در یک فهرست بدون وضعیت با هم مخلوط شده بودند. در کنترل مجدد تأیید شد: برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
335,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,مانور اضطراری,Notfallübung,emergency drill,"Emergency drill is an occupational safety concept used to support the safe planning, execution and control of work.","Notfallübung ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.",In der Notfallübung wurde die Rettung einer bewusstlosen Person aus einem engen Raum unter realistischen Zugangsbedingungen geprobt.,در مانور اضطراری، نجات فرد بیهوش از فضای بسته با شرایط واقعی دسترسی تمرین شد.,Im RAMS und in der Unterweisung zu „Notfallübung“ wurde dieser konkrete Arbeitsablauf beschrieben: In der Notfallübung wurde die Rettung einer bewusstlosen Person aus einem engen Raum unter realistischen Zugangsbedingungen geprobt.,در RAMS و آموزش مربوط به «مانور اضطراری» این روند واقعی کار شرح داده شد: در مانور اضطراری، نجات فرد بیهوش از فضای بسته با شرایط واقعی دسترسی تمرین شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
336,core,"RAMS, PTW und Koordination","RAMS, permits to work and coordination",RAMS، مجوز کار و هماهنگی,درس‌آموخته‌ها,Lessons Learned,lessons learned,"Lessons learned is an occupational safety concept used to support the safe planning, execution and control of work.","Lessons Learned ist ein Begriff des Arbeitsschutzes, der die sichere Planung, Ausführung und Kontrolle von Arbeiten unterstützt.","Lessons Learned: Das RAMS beschrieb die Tätigkeit allgemein, ließ aber Quetschstellen, Fahrmanöver und hydraulische Gefahren offen. Im RAMS wurde als konkrete Maßnahme festgelegt: Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",درس‌آموخته‌ها: RAMS فعالیت را کلی شرح داده بود اما نقاط گیرکردن، مانور حرکت و خطرات هیدرولیک را پوشش نمی‌داد. در RAMS اقدام مشخص زیر تعیین شد: برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,"Im RAMS und in der Unterweisung zu „Lessons Learned“ wurde dieser konkrete Arbeitsablauf beschrieben: Das RAMS beschrieb die Tätigkeit allgemein, ließ aber Quetschstellen, Fahrmanöver und hydraulische Gefahren offen. Im RAMS wurde als konkrete Maßnahme festgelegt: Jeder Arbeitsschritt erhielt konkrete Gefährdungen, Maßnahmen, Verantwortliche, Nachweise und Abbruchkriterien.",در RAMS و آموزش مربوط به «درس‌آموخته‌ها» این روند واقعی کار شرح داده شد: RAMS فعالیت را کلی شرح داده بود اما نقاط گیرکردن، مانور حرکت و خطرات هیدرولیک را پوشش نمی‌داد. در RAMS اقدام مشخص زیر تعیین شد: برای هر مرحله کار، خطرات، اقدامات، مسئولان، مدارک و معیارهای توقف مشخص تعیین شد.,ArbSchG; BaustellV; DGUV Vorschrift 1; projektspezifische PTW-Regeln,praxisnah-v6-szenario-und-dokumentation
